GEO_ID,NAME,HISPANIC_OR_LATINO_OF_ANY_RACE,WHITE_ALONE_NOT_HISPANIC,BLACK_OR_AFRICAN_AMERICAN_ALONE_NOT_HISPANIC,AMERICAN_INDIAN_OR_ALASKAN_NATIVE_ALONE_NOT_HISPANIC,ASIAN_ALONE_NOT_HISPANIC,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER_ALONE_NOT_HISPANIC,SOME_OTHER_RACE_ALONE_NOT_HISPANIC,TWO_RACES_INCLUDING_SOME_OTHER_RACE_NOT_HISPANIC,TWO_OR_MORE_RACES_TWO_RACES_EXCLUDING_SOME_OTHER_RACE_AND_THREE_OR_MORE_RACES_NOT_HISPANIC,
0500000US13063,"Clayton County, Georgia",13.4,9.1,68.5,0,5,0.4,0.3,0,3.2,99.9
0500000US13067,"Cobb County, Georgia",13.3,50.6,27.2,0.2,5.4,0,0.8,0.2,2.2,99.9
0500000US13073,"Columbia County, Georgia",7.1,67.2,16.7,0,3,0,0.6,0.8,4.6,100
0500000US13077,"Coweta County, Georgia",7.3,70.3,18.3,0,2.3,0,0.2,0,1.5,99.9
0500000US13089,"DeKalb County, Georgia",8.5,29.2,53.6,0.3,6.2,0,0.4,0.1,1.7,100
0500000US13095,"Dougherty County, Georgia",3.1,N,N,N,N,N,N,N,N,3.1
0500000US13097,"Douglas County, Georgia",10.2,37.4,47.7,0.1,1.7,0,0.3,0,2.6,100
0500000US13113,"Fayette County, Georgia",7.5,60.5,24.1,0,4,0.4,1.6,0,1.9,100
0500000US13115,"Floyd County, Georgia",11.6,70.5,13.1,0,0.7,0,0,1,3.2,100.1
0500000US13117,"Forsyth County, Georgia",9.7,68.7,3.8,0.4,14.7,0,0.3,0.3,2.1,100
0500000US13121,"Fulton County, Georgia",7.2,39.3,43.8,0.2,7.1,0.1,0.5,0.1,1.7,100
0500000US13127,"Glynn County, Georgia",6.8,63.5,27.4,0.6,0.8,0.2,0.1,0,0.5,99.9
0500000US13135,"Gwinnett County, Georgia",21.7,35.2,27.8,0.3,12.1,0,0.3,0.2,2.4,100
0500000US13139,"Hall County, Georgia",29.1,60.1,6.5,0.1,1.8,0,0.2,0,2.2,100
0500000US13151,"Henry County, Georgia",7.2,40,47.2,0,3.3,0,0,0.1,2.2,100
0500000US13153,"Houston County, Georgia",6.6,54.6,30.9,0,3.7,0,0.3,0,3.9,100
0500000US13157,"Jackson County, Georgia",8.4,79.4,7.1,0,1.9,0.2,0.6,0.7,1.7,100
0500000US13185,"Lowndes County, Georgia",6,52.5,37.4,0.7,1.1,0.2,0.4,0,1.7,100
0500000US13215,"Muscogee County, Georgia",7.7,39.6,45.9,0.5,2.9,0.1,0.2,0,3.1,100
0500000US13217,"Newton County, Georgia",6.1,N,N,N,N,N,N,N,N,6.1
0500000US13223,"Paulding County, Georgia",7.1,68.4,18,0.2,1.4,0,0,0,4.9,100
0500000US13245,"Richmond County, Georgia",5.1,33.4,55.3,0.1,1.5,0,1.4,0.2,3.1,100.1
0500000US13247,"Rockdale County, Georgia",10.5,28.9,55.2,0.1,2.1,1,0.3,0.3,1.6,100
0500000US13255,"Spalding County, Georgia",5,N,N,N,N,N,N,N,N,5
0500000US13285,"Troup County, Georgia",3.7,55.5,36.4,0.3,2.5,0,0.3,0,1.2,99.9
0500000US13295,"Walker County, Georgia",1.8,90.3,6.1,0.1,0.9,0,0.1,0.2,0.7,100.2
0500000US13297,"Walton County, Georgia",4.9,73.1,18.2,0.2,1.9,0,0.1,0,1.7,100.1
0500000US13313,"Whitfield County, Georgia",36.3,57.1,3.4,0.2,1.5,0,0.1,0.1,1.3,100
0500000US15001,"Hawaii County, Hawaii",12.9,30,0.4,0.1,23.2,10.8,0.1,0.2,22.3,100
0500000US15003,"Honolulu County, Hawaii",10,17.8,2.4,0.2,43.3,9.6,0.2,0.1,16.4,100
0500000US15007,"Kauai County, Hawaii",11.4,29.1,0.2,0.3,28.9,9.6,0.2,0,20.5,100.2
0500000US15009,"Maui County, Hawaii",11.6,29.8,0.4,0.4,30,11.1,0.8,0.2,15.7,100
0500000US16001,"Ada County, Idaho",8.5,84.1,1.4,0.5,2.3,0.1,0.2,0,2.9,100
0500000US16005,"Bannock County, Idaho",8.9,83.2,0.8,2.4,1.9,0,0.1,0,2.6,99.9
0500000US16019,"Bonneville County, Idaho",13.4,82.5,0.3,0.3,1.1,0,0,0,2.4,100
0500000US16027,"Canyon County, Idaho",25.6,69.6,0.5,0.5,1,0.1,0.4,0,2.3,100
0500000US16055,"Kootenai County, Idaho",4.9,90.3,0.2,0.8,1.1,0,0,0.1,2.6,100
0500000US16083,"Twin Falls County, Idaho",17.1,N,N,N,N,N,N,N,N,17.1
0500000US17001,"Adams County, Illinois",1.8,N,N,N,N,N,N,N,N,1.8
0500000US17019,"Champaign County, Illinois",6.3,66.3,13.3,0.1,10.8,0.1,0.3,0.1,2.8,100.1
0500000US17031,"Cook County, Illinois",25.6,41.8,22.7,0.1,7.6,0,0.2,0.1,1.8,99.9
0500000US17037,"DeKalb County, Illinois",11.7,75.8,7.4,0.1,1.9,0,0,0,3.1,100
0500000US17043,"DuPage County, Illinois",14.6,65.9,4.7,0,12.2,0,0.2,0.2,2.2,100
0500000US17089,"Kane County, Illinois",32.4,56.1,5.3,0,4,0.1,0.5,0.1,1.6,100.1
0500000US17091,"Kankakee County, Illinois",10.8,71.6,15.6,0,0.6,0,0,0,1.3,99.9
0500000US17093,"Kendall County, Illinois",20,67.4,8.1,0,2.5,0,0,0,1.9,99.9
0500000US17097,"Lake County, Illinois",22.4,60.3,6.5,0.1,7.9,0,0.3,0.1,2.4,100
0500000US17099,"LaSalle County, Illinois",10.3,84.7,3.1,0,0.8,0,0,0,1.2,100.1
0500000US17111,"McHenry County, Illinois",13.9,80,1.4,0.1,2.9,0,0.1,0,1.7,100.1
0500000US17113,"McLean County, Illinois",5.2,79.2,8.1,0.1,5,0.1,0,0,2.3,100
0500000US17115,"Macon County, Illinois",2.4,75.7,17.7,0.1,1.2,0.1,0.1,0,2.7,100
0500000US17119,"Madison County, Illinois",3.4,84.6,8.3,0.3,1.3,0,0.1,0,2,100
0500000US17143,"Peoria County, Illinois",5.1,69.3,18.4,0,4.3,0,0.1,0,2.8,100
0500000US17161,"Rock Island County, Illinois",13.2,71,9.8,0.3,2.2,0,0.3,0.1,3.1,100
0500000US17163,"St. Clair County, Illinois",4.3,61.2,29.2,0.3,1.2,0,0,0,3.7,99.9
0500000US17167,"Sangamon County, Illinois",2.4,79.8,12.9,0.1,2,0.1,0.3,0.1,2.4,100.1
0500000US17179,"Tazewell County, Illinois",2.5,93.7,1.1,0,1,0,0,0.1,1.6,100
0500000US17183,"Vermilion County, Illinois",5.3,77.8,14.4,0.3,0.8,0,0,0,1.4,100
0500000US17197,"Will County, Illinois",18.2,62.4,11.4,0,5.7,0,0.1,0,2.1,99.9
0500000US17199,"Williamson County, Illinois",1.7,89.2,4.5,0.2,1.8,0,0.1,0,2.5,100
0500000US17201,"Winnebago County, Illinois",13.5,67.6,13.4,0.1,2.7,0,0.3,0,2.3,99.9
0500000US18003,"Allen County, Indiana",7.7,72.8,11,0.2,4.5,0,0.3,0,3.3,99.8
0500000US18005,"Bartholomew County, Indiana",7.2,78.6,0.9,0,8.5,0,1.9,0,2.8,99.9
0500000US18011,"Boone County, Indiana",3.2,89.7,2.3,0.1,4.3,0,0,0,0.5,100.1
0500000US18019,"Clark County, Indiana",5.7,82.4,7.6,0,1.3,0,0,0,3,100
0500000US18035,"Delaware County, Indiana",2.6,86.6,6.3,0.1,1.3,0,0,0,3.1,100
0500000US18039,"Elkhart County, Indiana",16.8,74,5.8,0.1,1.2,0,0.2,0,2,100.1
0500000US18043,"Floyd County, Indiana",3.5,87.4,4.7,0.2,0.5,0,0,0.1,3.5,99.9
0500000US18053,"Grant County, Indiana",4.4,84.5,6.5,0,1.1,0,0.1,0.1,3.2,99.9
0500000US18057,"Hamilton County, Indiana",4.3,82.7,4.3,0.2,6.7,0,0.1,0.1,1.6,100
0500000US18059,"Hancock County, Indiana",2.6,N,N,N,N,N,N,N,N,2.6
0500000US18063,"Hendricks County, Indiana",4.3,82.3,7.1,0.1,3.5,0,0.6,0.1,2,100
0500000US18067,"Howard County, Indiana",1.6,N,N,N,N,N,N,N,N,1.6
0500000US18081,"Johnson County, Indiana",3.8,87.4,2.3,0,4,0.1,0.6,0.1,1.9,100.2
0500000US18085,"Kosciusko County, Indiana",8.2,87.4,1.5,0,1.5,0,0.2,0.1,1.2,100.1
0500000US18089,"Lake County, Indiana",19.6,53.8,23.4,0.3,1.6,0,0.2,0,1.1,100
0500000US18091,"LaPorte County, Indiana",6.9,78.7,10.9,0.3,0.7,0,0.1,0,2.4,100
