GEO_ID,NAME,PERCENT_BELOW_POVERTY
0500000US39041,"Delaware County, Ohio",6.1
0500000US39043,"Erie County, Ohio",11.9
0500000US39045,"Fairfield County, Ohio",8.1
0500000US39049,"Franklin County, Ohio",13.4
0500000US39055,"Geauga County, Ohio",4.9
0500000US39057,"Greene County, Ohio",10.3
0500000US39061,"Hamilton County, Ohio",14.5
0500000US39063,"Hancock County, Ohio",10
0500000US39081,"Jefferson County, Ohio",17.2
0500000US39085,"Lake County, Ohio",8.6
0500000US39089,"Licking County, Ohio",9.3
0500000US39093,"Lorain County, Ohio",14.3
0500000US39095,"Lucas County, Ohio",18.2
0500000US39099,"Mahoning County, Ohio",18.4
0500000US39101,"Marion County, Ohio",14.8
0500000US39103,"Medina County, Ohio",4.9
0500000US39109,"Miami County, Ohio",9.4
0500000US39113,"Montgomery County, Ohio",15.5
0500000US39119,"Muskingum County, Ohio",15.9
0500000US39133,"Portage County, Ohio",12.5
0500000US39139,"Richland County, Ohio",13.1
0500000US39141,"Ross County, Ohio",15.2
0500000US39145,"Scioto County, Ohio",23.1
0500000US39151,"Stark County, Ohio",13.2
0500000US39153,"Summit County, Ohio",14.3
0500000US39155,"Trumbull County, Ohio",15.7
0500000US39157,"Tuscarawas County, Ohio",11.7
0500000US39165,"Warren County, Ohio",4
0500000US39169,"Wayne County, Ohio",9.8
0500000US39173,"Wood County, Ohio",11.7
0500000US40017,"Canadian County, Oklahoma",8.7
0500000US40027,"Cleveland County, Oklahoma",11.9
0500000US40031,"Comanche County, Oklahoma",17.4
0500000US40037,"Creek County, Oklahoma",13.4
0500000US40101,"Muskogee County, Oklahoma",24
0500000US40109,"Oklahoma County, Oklahoma",14.9
0500000US40119,"Payne County, Oklahoma",26
0500000US40125,"Pottawatomie County, Oklahoma",14.1
0500000US40131,"Rogers County, Oklahoma",11.5
0500000US40143,"Tulsa County, Oklahoma",14.3
0500000US40145,"Wagoner County, Oklahoma",7.3
0500000US41003,"Benton County, Oregon",17.9
0500000US41005,"Clackamas County, Oregon",7
0500000US41017,"Deschutes County, Oregon",9.7
0500000US41019,"Douglas County, Oregon",10.3
0500000US41029,"Jackson County, Oregon",13.9
0500000US41033,"Josephine County, Oregon",15.7
0500000US41035,"Klamath County, Oregon",16.4
0500000US41039,"Lane County, Oregon",14
0500000US41043,"Linn County, Oregon",13.3
